Location,Sample,ATF2,JNK,HSP27,P38,Erk/MAP Kinase 1/2,p53,MEK1,MSK1,STAT1,c-Jun,Total Events
"1(1,A1)",BLANK,93.5,280.5,51,248,472.5,136.5,85,24,23,103.5,1177
"2(1,B1)",BLANK,86,292.5,36,222.5,522,136,82,21,22,103,1188
"3(1,C1)",BLANK,95,226.5,30,235,379,134,81.5,21.5,29,93,1185
"4(1,D1)",HeLa UNSTIMULATED NC,94.5,305,13,291.5,717,142.5,114,30,45,90,1100
"5(1,E1)",HeLa UNSTIMULATED NC,91,347.5,14,271,749,140,132,29,42.5,111,1139
"6(1,F1)",HeLa UNSTIMULATED NC,87,322.5,14,328,684,152.5,133,33.5,41.5,104.5,1276
"7(1,G1)",HeLa HS/ARS PC,990.5,1509,4900,15500,511,152,277,263,48,205,1206
"8(1,H1)",HeLa HS/ARS PC,973,1765,4665,15598.5,624,142,255.5,312,46,234.5,1149
"9(1,I1)",HeLa HS/ARS PC,1786,2845,6310,18614.5,1063,222.5,430,562.5,87,436,1251
"10(1,J1)",NIN 3T3 ANIS PC,269.5,154.5,12,834,223,26.5,32,17,13,47,1336
"11(1,K1)",NIN 3T3 ANIS PC,3344.5,6956,33,15272,6828.5,142.5,533.5,216,258,1029,1100
"12(1,L1)",NIN 3T3 ANIS PC,2987.5,6396,31,14082.5,6698.5,137,513,191,309,823,1158
"13(1,M1)",A431 EGF PC,1433.5,712,32,1743,8244.5,249,1943,930.5,2025.5,178.5,1217
"14(1,N1)",A431 EGF PC,1610,438,30,1836.5,8902.5,404,2589,1311,2194,248,1359
"15(1,O1)",A431 EGF PC,1848,655,27,2533,9248,410,2476.5,1399,2244,199,1342
"17(1,A2)",LA WELL 1,904,6733,51,501,3818,153,520,87,28,119,1282
"18(1,B2)",LA WELL 1,381,3361,13,186,2682,129,266,47,15,87.5,1171
"19(1,C2)",LA WELL 1,246,2414,14,172,2363,143,185,42,16,104,1125
"20(1,D2)",LA WELL 2,390,4045,14,179,3032,121,309,48,16,82,1244
"21(1,E2)",LA WELL 2,612,4774,17,224,3474,149,418,61.5,21,106,1207
"22(1,F2)",LA WELL 2,460,4450.5,17,202,3339,140,359,53,18,94,1129
