Location,Sample,CREB,JNK,NFkB,p38,ERK12,Akt,p70S6K,STAT3,STAT5,Total Events
"1(1,A1)",BLANK,527,2445,16,223,2730.5,1297,289.5,104,75,1122
"2(1,B1)",BLANK,321.5,1153,14.5,215,1595,804,255,83,51.5,1101
"3(1,C1)",BLANK,130,347,14,197.5,697,495,77,67,44,1293
"4(1,D1)",HeLa UNSTIMULATED NC,152.5,266,24,316.5,1016.5,958,80,152,43,1254
"5(1,E1)",HeLa UNSTIMULATED NC,188,272,23,334.5,1049,980.5,78,160,43,1070
"6(1,F1)",HeLa UNSTIMULATED NC,886,428.5,26,695,1163.5,1101,79.5,165,43,1235
"7(1,G1)",A431 EGF PC,17217,4415,616,14765,7989,3665.5,374,4876,61,997
"8(1,H1)",A431 EGF PC,17274,4447.5,606,13974,7480,3929.5,413,4712.5,56.5,1189
"9(1,I1)",A431 EGF PC,17114,4590.5,590.5,14373,7673,4899,576.5,5001,57,1153
"10(1,J1)",MCF7 IGF1 PC,1279,3464,41,3568,4343,14533,1902,1329,77,1080
"11(1,K1)",MCF7 IGF1 PC,1112,3359,38,3271.5,4261.5,14277,1732.5,1235,95.5,1054
"12(1,L1)",MCF7 IGF1 PC,1264.5,3305,37,3416,4337,15105,1641,1313,139,1196
"13(1,M1)",HeLa TNFa/CalA PC,4703.5,1717,40,4141,8114,6054,192,2280,1853,1031
"14(1,N1)",HeLa TNFa/CalA PC,5172,1948.5,39,4488,8493,6020,189,2667,1790.5,1221
"15(1,O1)",HeLa TNFa/CalA PC,4990.5,2109,39,4255,8150.5,6112.5,210,2663,1785.5,1017
"17(1,A2)",LA WELL 1,2572,4705.5,24,387,3508,8221,324.5,132,87,1158
"18(1,B2)",LA WELL 1,2595.5,4520.5,21,361,3355,8186.5,61,126,84,1124
"19(1,C2)",LA WELL 1,2633.5,4514,20,370.5,3523.5,8225.5,65,131.5,77,1179
"20(1,D2)",LA WELL 2,2930.5,4734,21.5,366.5,3790.5,8416.5,59,125.5,86,1378
"21(1,E2)",LA WELL 2,3007,4652,21,352,3610.5,8246,58,134.5,82,1210
"22(1,F2)",LA WELL 2,3054.5,4747,24,397.5,3720,8464,51,124.5,91,1067
"23(1,G2)",LA WELL 3,1581,3843,20,356,3341.5,6979,55,105,60,1063
"24(1,H2)",LA WELL 3,1326,3596,19,335,3225,6609,52,103,62,1191
"25(1,I2)",LA WELL 3,1268,3671,20,356,3252.5,6628.5,58,111.5,65.5,1166
"26(1,J2)",LA VEH 1,2247,4369,19.5,349,3333.5,7640.5,49,114.5,76.5,1160
"27(1,K2)",LA VEH 1,2245,4522,22,338.5,3435,7783,53,109,71.5,1114
"28(1,L2)",LA VEH 1,2382,4856,21,355,3682,8216.5,53,112,85,1210
"29(1,M2)",LA VEH 2,3076,4896,20,372,3544,8479,49,131,84,1228
"30(1,N2)",LA VEH 2,2831,4691,20,354.5,3498,8227,51,127,79,1039
"31(1,O2)",LA VEH 2,3250,5474.5,22,377.5,3954,9170,50,126,105,1160
"33(1,A3)",LA VEH 3,2765,4807,22,366,3491,9029,97.5,112,97.5,1124
"34(1,B3)",LA VEH 3,2827,4850,21,359,3463.5,8417,62,126,84,1215
"35(1,C3)",LA VEH 3,2765.5,4555.5,23.5,337,3228,7998,128,113.5,85,1150
"36(1,D3)",AA WELL 1,3061,4151.5,21,340,2237,7563.5,53,139,75.5,1097
"37(1,E3)",AA WELL 1,3445.5,4295,19,373.5,2108,7426.5,49,143.5,79,1244
"38(1,F3)",AA WELL 1,3507,4353.5,20,353,2162.5,7629,58,136,86.5,1155
"39(1,G3)",AA WELL 2,3184.5,4216.5,22,386,2312,8011,56,170,92,1051
"40(1,H3)",AA WELL 2,2689,3714,20,354,1993.5,6931.5,50,136,74,1163
"41(1,I3)",AA WELL 2,3058.5,3971,19.5,401,2255,7794.5,57,168.5,90,1290
"42(1,J3)",AA WELL 3,2386,3759,18,329.5,2160,7341,56,141.5,77.5,1148
"43(1,K3)",AA WELL 3,2442,3886,20,358,2145,7171,65,144,79,1173
"44(1,L3)",AA WELL 3,2382,3789,18,317,2195,6700,53,135.5,71,1221
"45(1,M3)",AA VEH 1,3192,4516,20,315,3401,7924.5,73.5,130,85,1068
"46(1,N3)",AA VEH 1,3204.5,4858.5,19.5,323,3435,8077,48,120.5,80,1159
"47(1,O3)",AA VEH 1,3230,4794,20.5,337,3736.5,8102,52,135,80,1143
"49(1,A4)",AA VEH 2,2572,4264,19,320.5,3224,7886.5,123,104,81,1045
"50(1,B4)",AA VEH 2,2586,4351,20,302.5,3215,7665,64.5,120.5,79,1222
"51(1,C4)",AA VEH 2,3121,4637,22,355,3368,8287,53,134.5,88.5,1117
"52(1,D4)",AA VEH 3,2231,4227.5,18,323,3199,7694,51,108,82,1026
"53(1,E4)",AA VEH 3,2342,4472,19,348,3435,7840.5,50.5,110,85.5,1085
"54(1,F4)",AA VEH 3,1876,4144,20,309.5,3171.5,7507,49.5,96,73,1153
"55(1,G4)",F6P WELL 1,2772,4741.5,20,382,4249,8335.5,50.5,132,96.5,1001
"56(1,H4)",F6P WELL 1,2743,4514,18,349,3892,8130.5,50,113,91,1220
"57(1,I4)",F6P WELL 1,2650,4603,18,362,4200,7973,94,129.5,87,1080
"58(1,J4)",F6P WELL 2,3108,4880.5,23.5,400,4269,8837,56,135,90.5,1079
"59(1,K4)",F6P WELL 2,3293.5,4883,21.5,397,4290,8404,57.5,131.5,96,1058
"60(1,L4)",F6P WELL 2,2829.5,4613,19,359,3925,8097,51,128.5,79,1175
"61(1,M4)",F6P WELL 3,1509,3990,19,328.5,3860,6866,72.5,115,73,1079
"62(1,N4)",F6P WELL 3,1448,4087,18,307,3902.5,7120,56,113,77,1124
"63(1,O4)",F6P WELL 3,1306,3891.5,20,306,3968.5,6461,57,110.5,66,1361
"65(1,A5)",F6P VEH 1,1953,3539,21,277,3652,6596.5,67.5,97,63.5,1210
"66(1,B5)",F6P VEH 1,2713.5,4307,20,344,3928,7719,75,113.5,91.5,1245
"67(1,C5)",F6P VEH 1,2868.5,4515,20,365.5,3999,8279,53,124.5,89,1211
"68(1,D5)",F6P VEH 2,2776,4499,22,374,4081,8241,55.5,115,93,1161
"69(1,E5)",F6P VEH 2,2614.5,4591,20,360.5,3994.5,8050.5,49.5,122.5,84,1209
"70(1,F5)",F6P VEH 2,2271,4206,19,328,3941,7898.5,43,117.5,80,1196
"71(1,G5)",F6P VEH 3,1442,3655,19,322,3677,6475.5,44,105,70,1234
"72(1,H5)",F6P VEH 3,1494.5,3711,21,301,3657,6716.5,46,106,70,1040
"73(1,I5)",F6P VEH 3,1362.5,3671,20,297,3737,6286.5,51,113,70,1229
"74(1,J5)",R WELL 1,3222.5,574,16,660,2197,4672,65,116,58,1003
"75(1,K5)",R WELL 1,2846,464.5,14,624,1882.5,4297.5,50.5,97,56,1185
"76(1,L5)",R WELL 1,3208,449.5,17,644,1873,4476,52.5,102,60,1105
"77(1,M5)",R WELL 2,3207.5,330.5,15,647,2006,4044,48,105.5,55,1256
"78(1,N5)",R WELL 2,3118,400,16,580,2026.5,3950,53,115.5,53,1079
"79(1,O5)",R WELL 2,2872,468,16,561,2093,4021.5,45,100,54,1150
"81(1,A6)",R WELL 3,1857,308,17,353,1404.5,2686.5,71,65,42,1007
"82(1,B6)",R WELL 3,2229,763,17,484,2043,3642,82.5,99,54,1487
"83(1,C6)",R WELL 3,2315,934,15.5,460,2082,4096,47,103,50,1108
"84(1,D6)",R VEH 1,3113,4147.5,19,539,2173,7891,51,119.5,81,1084
"85(1,E6)",R VEH 1,3235,4443,18,575,2248,8248,49,122,83,1297
"86(1,F6)",R VEH 1,3056,4251.5,18,548,2320,8077.5,45,120.5,74,1369
"87(1,G6)",R VEH 2,3352,4428,19,622,2315,8589.5,47,122,78,1244
"88(1,H6)",R VEH 2,3241,4170,19,608.5,2180,8133.5,43,121,79,1234
"89(1,I6)",R VEH 2,3394,4432,20,608.5,2158.5,8857,47,126,78.5,1116
"90(1,J6)",R VEH 3,3060,3965,19,566,2056,7285.5,42,122.5,67.5,1104
"91(1,K6)",R VEH 3,3287,4215,17,582,2154,7815,46.5,111,74,1138
"92(1,L6)",R VEH 3,2658,3826,19,546.5,2024.5,6810.5,45,105.5,62.5,1134
"93(1,M6)",N WELL 1,2767,4011.5,19,450,2511,8104.5,44,122,72,1218
"94(1,N6)",N WELL 1,2718,3881,20,428,2517.5,8042,50.5,122.5,69,1152
"95(1,O6)",N WELL 1,2752.5,4273,20,463,2680.5,8160.5,48.5,110.5,70,1026
"97(1,A7)",N WELL 2,1224,2289,19,231,1804,4805.5,69,82,42.5,1195
"98(1,B7)",N WELL 2,3210.5,4033,18,493,2513,8467,52,126.5,83,1180
"99(1,C7)",N WELL 2,3280,4237.5,20,490,2600.5,8708,57,130,92,1073
"100(1,D7)",N WELL 3,2886.5,4405.5,22,527,2417,9005,50.5,122.5,80,1182
"101(1,E7)",N WELL 3,2676,4315.5,19,548,2408,8878,50,124,81,1265
"102(1,F7)",N WELL 3,2784.5,4420,19,516.5,2321,8487.5,52,117,79,1013
"103(1,G7)",N VEH 1,3475,5084,20,569.5,2768,9736.5,53.5,121.5,94.5,1343
"104(1,H7)",N VEH 1,3124.5,4438.5,18,486,2406,9218,45,134,89,1388
"105(1,I7)",N VEH 1,3192.5,4777,22,533,2511,9498,48.5,118.5,99,1263
"106(1,J7)",N VEH 2,3283,4904.5,20,539,2380,9137.5,47,122,87,1049
"107(1,K7)",N VEH 2,3441.5,5112.5,21,533.5,2437,9754,121,126,91,1219
"108(1,L7)",N VEH 2,3269,4655,21,549,2296,9069,316,136,87.5,1215
"109(1,M7)",N VEH 3,2682.5,4304,19,516,2564,8858,53.5,125.5,92,1148
"110(1,N7)",N VEH 3,2652.5,4643,17,499.5,2693,8847,60,130,88,1105
"111(1,O7)",N VEH 3,2874,4541,19.5,559,2746,9091.5,56,129.5,89.5,1080
"113(1,A8)",LT WELL 1,1701.5,3490,19,270.5,2851,8026,63,125,55.5,1074
"114(1,B8)",LT WELL 1,3051,4605,19,329,3203.5,8676,55,123.5,80,1253
"115(1,C8)",LT WELL 1,3258.5,4818,23,320.5,3307,9019,53,118.5,85,1173
"116(1,D8)",LT WELL 2,4109,5080,20.5,434.5,3484,10172,53,125.5,96,1158
"117(1,E8)",LT WELL 2,4145,4808,16,457,3318.5,9661.5,52,121,96,1319
"118(1,F8)",LT WELL 2,3604,4517.5,20,400,3329.5,9264,48,112,87,1054
"119(1,G8)",LT WELL 3,2103,4284.5,21,439,3113,8647,50,106,75,1242
"120(1,H8)",LT WELL 3,1936,3881.5,18,413.5,2909.5,8022.5,52,97,73.5,1061
"121(1,I8)",LT WELL 3,1959,4139,19,412,3080,8161,46,101,73.5,1105
"122(1,J8)",LT VEH 1,3760,4638,18,358,3170,9256.5,54,111.5,89,1314
"123(1,K8)",LT VEH 1,3886,4978,19,375.5,3606,9714,48,125,99,1142
"124(1,L8)",LT VEH 1,3693.5,4659,19,356.5,3244.5,9377,88.5,107,84,1025
"125(1,M8)",LT VEH 2,2460,4429,16,372,3026,8633.5,52,112,75,1052
"126(1,N8)",LT VEH 2,2472,4456,19,437,3151.5,8918.5,57,121,80,1095
"127(1,O8)",LT VEH 2,2315,4384,19,387,3233,8657,52.5,113.5,85,1017
"129(1,A9)",LT VEH 3,1901,4259,21,386,3108,8748.5,52,100,81,1162
"130(1,B9)",LT VEH 3,1865,4458,20,408.5,3176.5,8508,49,113.5,85,1088
"131(1,C9)",LT VEH 3,1745,4215,17,368,3085.5,8347,53,115,77,1144
"132(1,D9)",ASP WELL 1,2210.5,4191.5,18,328,2777.5,7721,58.5,113,70,1094
"133(1,E9)",ASP WELL 1,2187,4375,19,327,2934,7853,48.5,106,83,1088
"134(1,F9)",ASP WELL 1,2124,4098,18,326,2767,7568.5,55,114,73,1269
"135(1,G9)",ASP WELL 2,3494.5,4810,18,395,2615.5,9166,57,118,90,1118
"136(1,H9)",ASP WELL 2,2915,4762,20,372,2519,8814,50,115.5,76,1331
"137(1,I9)",ASP WELL 2,2894,4557.5,20,350,2565,8872.5,47,137.5,77.5,1286
"138(1,J9)",ASP WELL 3,2447,4574,19,329.5,2519,8690,55,109.5,75,1091
"139(1,K9)",ASP WELL 3,2650,4504,19,325.5,2550,8584.5,51.5,107,82,1345
"140(1,L9)",ASP WELL 3,2476,4248,17,296,2383.5,8556,57,102,78,1242
"141(1,M9)",ASP VEH 1,2598,4183.5,20,339,3082,8059,59,104,76,1117
"142(1,N9)",ASP VEH 1,2335,3994,19,291,2800.5,7326,48,108.5,66,1250
"143(1,O9)",ASP VEH 1,2182.5,3916,17.5,291.5,3004.5,7792.5,54,110,66,1084
