Description,Eotaxin,IFN-gamma,IL-1Beta,IL-1alpha,IL10,IL12p40,IL12p70,IL13,IL6,IL9,KC,MCP-1,MIP-1Beta,MIP-1alpha,RANTES
Aminoadipic Acid (1),0.062480997,0.11668298,-0.167944637,0.979680016,0.212475713,-2.041854354,0.427933595,-0.103603117,2.184209227,0.257133804,0.117830951,-0.291859059,0.539040949,0.265015121,-0.03968558
Aminoadipic Acid (2),-0.120641307,-0.399440644,-0.399270183,0.512554005,-0.556319362,-2.911546332,-0.307382262,0.565572387,2.29366037,-0.388201314,0.375422985,-0.577258202,0.781061824,-0.234721028,-0.435461178
Aminoadipic Acid (3),0.070104238,-0.415037499,-0.399270183,-1.252980741,-0.491224334,-2.798088282,0.233872953,0.172673865,2.14822993,0.306536044,0.040402964,-1.009572247,0.909834031,0.014074192,-0.525257848
Arachidonic Acid (1),-0.211447229,-1.346571833,-0.349942471,-0.167109986,-1.357410682,-1.147548953,-1.019937932,-0.511548317,-0.25276607,-0.662197826,0.270135838,-1.15683975,-2.7498444,-2.659232062,-1.088984142
Arachidonic Acid (2),-1.425521985,-1.002126301,-0.215012891,-0.167109986,-1.064747181,-0.910240249,-0.283532716,-1.014048657,1.311586151,-0.468187206,0.562085675,-0.372903105,-3.0691707,-2.70949878,-1.349969472
Arachidonic Acid (3),-1.382624027,0.416099476,-0.852442812,-3.245112498,-0.5360529,-0.121109085,-0.265154187,-0.763822028,0.700439718,0.517409729,0.066348515,-0.908498473,-3.049051222,-2.604479365,-1.075862015
Asparagine (1),0.646835292,0.877515993,0.903784685,0.739937161,0.561878888,0.467205325,0.227844977,0.36124529,2.348522305,1.665198435,0.293269741,0.01501265,0.475784167,0.819197846,0.411232348
Asparagine (2),1.166578524,1.049468676,0.293731203,-4.429987841,0.183122304,0.187354205,0.035708697,-0.634123261,-3.841302254,0.900810961,-0.556703905,-0.727418062,0.571723701,-0.114014414,0.381536033
Asparagine (3),-1.312801209,3.439983856,-0.047305715,-0.767022828,-0.205616709,-0.168527718,-0.2269188,-0.209867232,-2.841302254,0.192796741,-0.619751663,-0.726348537,0.377848153,0.504696934,-0.057028756
D-Sorbitol (1),0.350415091,1.02999474,-0.468148836,1.717412797,0.063911764,-0.619943861,0.745898719,0.798948725,-0.205584134,0.010774472,0.093876798,-0.092776438,1.048095934,0.754059769,-0.290259562
D-Sorbitol (2),-0.018271102,-0.371255807,-0.146220741,1.182203331,-0.246043689,-0.749619395,0.549501506,-0.443445914,-5.415037499,-0.830796166,0.07710137,0.233261908,0.270907775,0.326126944,0.195505371
D-Sorbitol (3),0.080132602,0.727234056,-0.146220741,1.218423519,0.318908851,0.100284577,0.070738409,-0.059898701,0.539158811,0.448972256,0.086662333,-0.168571788,0.750797791,0.433588595,0.431955394
Fructose (1),-0.107328584,-0.381203904,1.835505962,0.614108846,-0.154559931,-0.306641367,0.720502283,0.018958158,-3.068479738,0.007054758,-0.585626708,-0.404781647,-0.111308983,-0.15915006,-0.273782836
Fructose (2),-1.201499538,-0.176665148,1.030762254,5.423866259,-0.545278799,-0.607140598,-0.109754679,-0.084484158,-0.524159222,-0.424497829,-0.739156844,-0.832574828,-0.392451373,-0.380022185,-0.023161814
Fructose (3),-0.562966724,-1.469861524,-0.103093493,-2.292781749,-0.076725791,-0.807734429,0.317965139,0.081613766,-4.653442239,-0.014213859,-0.736732296,-0.844828856,-0.477986752,-0.319341866,-0.757986911
L-Tryptophan (1),-0.47948039,-0.819733054,0.38502493,0.317190176,-0.466176348,-0.910620902,-0.378945302,0.036169737,2.494764692,-0.254786253,-0.44684267,-0.727614401,-0.760820875,-1.052732929,-0.774806842
L-Tryptophan (2),-0.013816818,-0.050162795,0.460973783,2.457279948,0.702095134,0.119698033,0.70894393,0.6596412,2.606657572,-0.645834256,0.514136775,0.502062996,0.395182129,0.554747165,0.463741348
L-Tryptophan (3),0.610330053,-0.314810052,0.38502493,-0.376148486,0.467889382,-0.032971939,-0.073055417,0.090691017,1.447458977,0.559601175,0.019618847,0.024607383,0.281017159,0.141157405,-0.082722847
Lauric Acid (1),0.039295559,0.165136763,2.415037499,0.925410684,1.456303784,1.67603606,-0.008216251,2.750792424,4.550308432,-0.210858941,-0.099043268,-0.530236888,-0.400725356,-1.024817347,-0.398023209
Lauric Acid (2),2.307646011,-0.51908737,1.642106408,-0.426264755,0.16378416,-0.326316568,-1.572145052,0.040641984,2.682061189,0.010181376,-0.488273763,-0.681831053,-1.260476951,-1.38563294,-0.608689694
Lauric Acid (3),0.115808453,-0.689012371,0.762960803,-0.551795637,-0.134788538,0.179755238,-2.241133852,0.272206052,3.292409008,-0.460709358,0.103648764,-0.515484888,-0.236047836,-0.947335273,-0.296234049
Niacinamide (1),-0.196935692,0.177787119,0.334984248,-2.382933481,-0.0191511,0.62392458,0.341653957,-0.456938655,-2.678071905,-0.147722096,0.249895897,0.472287114,0.318800685,-0.262407965,0.330304451
Niacinamide (2),-0.946757979,-0.358713893,0.032421478,-5.532680601,0.158961952,-0.24576132,-0.187993495,-0.013832273,-3,0.280612226,0.320863275,0.649504434,0.654268304,0.097115865,0.390397614
Niacinamide (3),0.300198219,1.554229373,0.710493383,-3.777793099,0.444072864,1.361023874,0.894746936,0.63900234,-4,0.871738218,0.229359861,0.230431662,1.246850691,0.0527817,1.063310158
Retinol (1),-0.495385072,-0.638375021,0.024247546,-2.034320073,-0.197290246,-1.096831752,-0.922662872,0.045605329,4.030625964,-1.39115255,0.169869863,1.155616485,-3.773146667,-0.711993352,-1.013939191
Retinol (2),-0.009958245,-2.651671843,0.98772167,-1.417648713,-0.131801164,-0.413608381,-1.459036692,-0.214480287,3.313289177,-0.970014851,0.65670661,1.279104368,-4.090729292,-0.633830941,-1.150242636
Retinol (3),-0.952414201,-0.246688009,0.225881407,-0.825733451,-0.069156227,-0.965387786,-1.342843675,-0.270798719,5.727107669,-1.951867504,0.311756314,0.803796721,-4.039121682,-0.841810421,-1.117625684
